recordid,date,type,notes,transactionid,employeeid,officeid
1,2021-10-04,Revenue,Hotel ago past ground ground involve son.,332,28,4
2,2021-04-11,Expense,Father without paper second my section man.,420,77,12
3,7/18/20,Revenue,Argue loss worry contain.,193,8,10
4,10/19/21,Expense,Sport national heavy reduce future.,700,96,5
5,4/17/22,Commission,Instead or necessary score example nearly democratic prevent.,191,63,20
6,2021-03-09,Expense,,810,94,8
7,2022-04-03,Commission,Film technology attention already.,173,78,13
8,9/21/21,Commission,Represent contain none woman left bar.,998,33,7
9,2021-12-02,Commission,Expect south into I.,818,92,20
10,2021-06-06,Revenue,Feel military necessary course where.,309,34,16
11,2020-05-06,Commission,,505,1,1
12,2022-01-08,Commission,Day sister financial future choose south.,456,3,2
13,12/21/20,Revenue,,451,18,20
14,1/28/21,Revenue,Cost beat middle lay design perform someone.,835,33,19
15,2020-03-05,Revenue,History course detail color.,705,99,4
16,2021-04-05,Revenue,In western ago police.,57,82,18
17,2021-02-01,Expense,,140,8,6
18,5/19/21,Revenue,,705,9,4
19,2020-12-07,Revenue,Into culture response bill else major why.,275,27,19
20,11/16/22,Revenue,Third act very notice.,75,21,2
21,11/16/20,Expense,,463,57,5
22,2021-03-09,Commission,Realize focus head opportunity future start.,692,37,11
23,4/23/22,Revenue,Appear interesting guy democratic.,812,93,4
24,2022-11-02,Revenue,,668,21,16
25,3/28/22,Expense,,398,27,9
26,2022-06-04,Expense,,398,54,20
27,6/27/22,Expense,Least challenge behavior hospital and option near.,324,83,18
28,5/26/22,Revenue,,860,27,10
29,3/19/22,Commission,Early adult prevent yard visit.,931,3,20
30,2021-02-05,Expense,,304,10,18
31,2021-09-04,Commission,,729,72,13
32,2020-11-01,Commission,,20,83,5
33,11/30/20,Expense,,860,47,13
34,2020-03-12,Commission,Remember however find among.,341,14,20
35,2021-02-02,Expense,,513,97,8
36,2022-11-11,Revenue,Dog its in south apply reality world.,375,52,3
37,2022-11-02,Expense,Into address forget both cup often behind.,205,93,1
38,5/29/20,Revenue,Marriage him street heart first soon budget base.,36,68,12
39,2/20/20,Revenue,,882,86,11
40,2020-07-04,Revenue,,502,46,14
41,2022-08-05,Expense,,1,14,9
42,10/18/22,Expense,,930,66,15
43,2021-03-05,Revenue,,837,58,17
44,2021-04-05,Expense,,750,99,19
45,2021-12-04,Commission,Enjoy herself three bill difficult history.,790,10,11
46,2022-10-02,Commission,Party executive agree always theory.,445,17,5
47,7/20/22,Expense,Let develop live back artist key glass.,463,97,9
48,4/21/20,Expense,,762,22,12
49,2021-10-12,Revenue,Must world bad wrong.,113,86,17
50,2020-08-12,Expense,,257,62,3
51,2/24/22,Revenue,,952,32,13
52,7/14/21,Expense,,257,72,9
53,3/17/21,Revenue,,80,28,7
54,4/19/20,Expense,Trouble paper even nearly material unit suddenly.,295,49,20
55,11/22/22,Revenue,May campaign religious huge western.,61,75,12
56,2021-10-04,Expense,,498,72,17
57,2022-09-03,Expense,Professional husband will push enough try cup.,843,37,10
58,7/19/22,Commission,Discuss resource woman will sure.,563,89,7
59,8/27/21,Revenue,World clearly early act present report Democrat.,685,31,13
60,2021-04-06,Expense,,4,59,3
61,2020-11-02,Commission,,853,13,20
62,8/25/21,Commission,,484,16,13
63,2/16/21,Commission,,838,8,3
64,6/17/22,Expense,,786,43,6
65,6/25/21,Commission,,187,35,19
66,8/15/22,Revenue,Government within operation writer actually benefit meet.,131,92,19
67,9/21/20,Revenue,,668,15,15
68,11/16/21,Expense,Human soon record employee whom.,682,26,2
69,6/13/22,Commission,Against beyond dream seem news minute.,563,93,11
70,7/22/22,Revenue,Pay foot budget common which.,612,23,8
71,2020-11-12,Revenue,No defense operation rather.,449,89,9
72,11/14/21,Revenue,,153,94,6
73,1/16/20,Revenue,,831,78,20
74,6/24/22,Revenue,,380,49,9
75,2021-03-08,Commission,Three able power than Republican.,561,13,12
76,9/22/21,Commission,Should financial seven their note without cup.,523,98,2
77,2021-09-08,Commission,Government whom onto suggest money number state prevent.,811,100,1
78,9/20/21,Expense,Manager key first easy real woman.,394,66,16
79,2020-10-01,Revenue,,544,35,9
80,5/29/22,Commission,Hair resource Republican specific beyond chair report accept.,918,12,9
81,2021-02-12,Revenue,Understand structure picture street look really.,838,81,5
82,5/31/20,Commission,Country each but after position area.,633,74,8
