transactionid,homeid,buyerid,sellerid,employeeid,date,amount,transactiontype
1,63,705,150,8,7/18/22,2756105,Rent
2,95,896,426,66,9/1/20,4838094,Sale
3,63,232,280,18,12/9/21,3878982,Sale
4,71,4,337,61,2/12/22,3326138,Sale
5,15,718,652,16,5/25/21,606562,Rent
6,98,601,695,86,11/12/21,4468418,Sale
7,81,809,931,54,11/18/22,2729479,Sale
8,71,714,422,81,9/2/22,4511295,Rent
9,13,838,909,16,6/13/21,2767615,Rent
10,99,127,932,70,9/13/22,4840703,Rent
11,70,673,685,46,2/15/21,2254528,Sale
12,26,472,571,92,4/19/20,3587410,Rent
13,36,136,162,28,5/8/20,1576812,Sale
14,78,70,453,5,5/25/20,2098282,Rent
15,53,886,929,95,3/27/22,2800784,Sale
16,5,136,756,3,4/2/21,216458,Sale
17,97,376,529,68,3/27/21,1565140,Sale
18,63,425,688,99,6/13/20,763349,Rent
19,33,921,817,48,11/13/22,1958617,Rent
20,32,998,571,11,4/16/22,703471,Sale
21,36,867,637,99,3/17/22,2129771,Rent
22,1,656,434,33,4/11/21,4970475,Sale
23,66,928,989,28,5/2/21,3939911,Sale
24,73,804,620,52,12/4/21,1203714,Rent
25,69,399,699,54,11/14/20,1548134,Sale
26,11,603,560,44,1/29/20,3161715,Sale
27,82,589,213,6,3/6/20,1157982,Sale
28,33,164,140,58,8/9/22,1466243,Sale
29,33,568,228,66,10/17/22,1858265,Sale
30,96,130,560,67,3/22/20,627113,Rent
31,10,297,612,4,8/23/20,468535,Sale
32,80,623,418,88,12/26/22,967918,Sale
33,65,852,817,61,3/5/21,203868,Sale
34,26,816,901,53,8/8/22,267086,Sale
35,65,591,317,25,7/17/21,698363,Rent
36,70,270,892,48,1/4/20,3032789,Sale
37,33,235,64,10,1/11/22,653905,Rent
38,81,131,862,57,12/13/21,3458202,Sale
39,40,253,126,19,2/15/20,4456605,Sale
40,43,454,335,47,3/24/21,2987171,Rent
41,9,32,785,91,2/12/21,415143,Rent
42,87,59,557,60,12/10/21,1691138,Sale
43,48,886,794,56,2/16/20,4750630,Sale
44,72,99,466,61,7/22/20,1907288,Sale
45,39,741,620,11,11/15/20,316498,Sale
46,4,180,244,5,2/13/21,4461467,Sale
47,86,69,872,70,6/28/21,1847756,Sale
48,8,943,396,49,9/23/20,4877588,Sale
49,2,547,268,49,8/4/22,1093243,Sale
50,78,993,382,58,11/29/22,3952726,Sale
51,83,120,432,66,11/20/20,1946725,Rent
52,82,739,774,59,3/7/22,1874740,Sale
53,53,767,339,57,11/8/20,801681,Sale
54,37,316,685,20,5/1/22,139065,Sale
55,62,552,906,1,10/11/20,3643810,Sale
56,5,963,256,77,8/14/22,3090368,Sale
57,22,902,966,80,7/15/20,800939,Sale
58,60,882,129,80,9/3/21,4220632,Sale
59,32,312,289,87,2/10/22,3152680,Rent
60,19,925,872,16,9/23/20,1932384,Sale
61,62,661,273,52,6/21/22,3391392,Rent
62,39,809,275,25,12/1/20,4739969,Sale
63,48,845,522,50,9/18/21,2473727,Sale
64,38,798,655,90,8/9/20,2462830,Rent
65,22,62,665,27,6/15/21,1005260,Sale
66,64,170,927,63,4/21/20,2319490,Sale
67,67,397,522,44,8/14/20,844458,Rent
68,96,815,864,56,8/13/21,3314619,Rent
69,52,502,395,36,5/17/21,1401001,Sale
70,39,896,204,57,12/3/21,2080301,Sale
71,100,4,702,69,9/1/21,3701884,Rent
72,93,661,900,53,6/16/22,4153566,Rent
73,89,617,911,56,5/3/20,4102982,Sale
74,63,412,862,4,8/4/21,4415824,Sale
75,37,949,256,56,2/2/21,364223,Rent
76,67,389,818,84,2/12/21,3116237,Sale
77,28,595,685,53,3/11/22,4487700,Sale
78,74,164,569,84,8/8/20,3428817,Rent
79,16,590,785,89,10/17/22,3880406,Sale
80,69,461,332,22,12/4/22,3593160,Sale
81,9,260,684,53,2/29/20,3252533,Sale
82,81,464,144,79,1/10/20,3247342,Sale
83,52,312,200,97,11/15/22,736340,Rent
84,35,107,28,96,3/3/22,1394569,Rent
85,61,470,525,22,4/27/21,819188,Sale
86,47,6,597,47,8/8/21,4232354,Sale
87,56,80,404,63,3/15/22,869088,Sale
88,73,310,93,98,9/7/21,4657754,Sale
89,59,205,100,47,9/21/22,3728979,Rent
90,54,479,335,2,7/28/21,4288047,Sale
91,59,840,28,38,6/25/22,1502643,Sale
92,82,444,638,79,7/2/21,3210207,Sale
93,64,723,847,42,10/6/21,138625,Sale
94,86,180,262,33,3/5/21,3106042,Sale
95,4,661,621,32,4/20/20,1545865,Sale
96,5,544,484,99,5/9/20,2922777,Sale
97,78,458,756,37,9/13/20,1534147,Rent
98,98,650,806,71,2/8/20,1644925,Sale
99,12,16,785,80,9/22/21,2598083,Sale
100,84,502,54,60,9/27/21,2947491,Sale
101,97,353,384,32,7/28/22,2774840,Rent
102,22,587,554,96,10/16/22,1929649,Rent
103,15,103,744,40,12/13/22,3267550,Rent
104,12,545,504,30,11/8/20,485501,Sale
105,48,782,554,6,6/9/21,4360681,Rent
106,49,433,419,51,7/31/22,546666,Sale
107,76,107,863,89,7/8/22,2139622,Sale
108,53,288,584,46,2/24/20,1814856,Sale
109,49,157,426,20,12/1/20,4517020,Sale
110,16,552,823,13,9/27/21,178799,Sale
111,52,464,960,68,7/6/22,2243684,Rent
112,19,37,499,55,8/31/21,1555697,Sale
113,90,540,890,50,6/2/21,1974730,Sale
114,46,854,745,84,4/9/20,1592715,Sale
115,10,32,991,65,9/17/20,487392,Sale
116,49,595,630,76,1/30/21,3035711,Rent
117,87,180,688,63,11/2/22,480347,Sale
118,99,564,497,36,7/3/20,4818031,Sale
119,72,816,100,23,7/20/22,4059564,Rent
120,47,999,863,99,10/26/20,114878,Sale
121,61,493,847,7,10/21/22,2819380,Sale
122,11,907,575,14,9/27/20,1415716,Sale
123,29,749,55,60,10/29/20,1119049,Rent
124,5,919,510,9,9/1/22,1802268,Sale
125,26,998,670,90,12/6/20,406361,Sale
126,48,924,602,96,3/16/21,3997444,Sale
127,30,278,569,71,6/21/22,4272414,Sale
128,87,628,774,90,12/24/22,1433325,Rent
129,24,661,956,95,6/19/20,3992587,Sale
130,95,552,884,93,4/10/22,4225688,Sale
131,5,736,583,35,9/28/20,4534191,Sale
132,91,668,469,74,4/24/20,595804,Sale
133,1,636,579,3,5/30/21,3430368,Sale
134,34,58,817,24,12/16/20,3026686,Sale
135,87,478,264,85,9/14/21,1040625,Sale
136,7,797,522,35,4/23/22,1195515,Sale
137,26,297,218,94,1/3/20,238468,Sale
138,66,292,764,15,5/4/21,4448113,Sale
139,13,553,370,95,8/8/20,3657354,Rent
140,35,483,57,18,7/16/20,1637299,Sale
141,86,458,932,70,9/5/20,4958266,Sale
142,22,215,817,40,10/20/21,3709821,Sale
143,93,887,306,46,12/21/22,2802444,Rent
144,58,572,145,22,4/28/21,1287810,Sale
145,73,919,585,87,12/23/22,514154,Sale
146,49,253,929,48,9/5/21,3818819,Rent
147,48,946,909,47,3/29/20,1922315,Sale
148,41,479,873,1,6/30/21,1212480,Sale
149,14,587,217,64,12/7/20,2808009,Sale
150,2,284,812,96,3/5/21,558462,Sale
151,45,311,785,14,11/21/21,3072814,Sale
152,44,591,551,44,8/3/21,4336114,Sale
153,19,537,13,44,6/22/21,1606252,Rent
154,27,921,862,77,10/2/22,64310,Rent
155,9,458,766,50,11/10/20,1875971,Sale
156,70,882,499,14,9/25/21,1412135,Rent
157,78,779,74,43,6/12/21,595765,Rent
158,66,983,989,78,7/25/20,71583,Sale
159,30,456,669,17,6/3/20,203803,Rent
160,92,535,612,87,8/23/20,3530966,Sale
161,51,590,413,93,6/19/20,4964654,Sale
162,2,502,543,35,3/25/20,4654680,Sale
163,1,421,647,88,11/19/22,639777,Rent
164,13,458,79,19,8/23/20,4073456,Sale
165,5,386,465,77,6/18/20,2689582,Rent
166,18,188,892,61,10/11/21,3109318,Sale
167,43,316,709,99,3/18/20,3565576,Sale
168,86,8,817,79,10/13/21,1595150,Sale
169,77,431,863,67,12/15/21,4968447,Sale
170,80,69,142,64,1/19/22,4139857,Sale
171,81,130,837,86,7/23/21,3109370,Rent
172,71,103,79,25,9/26/21,4039814,Rent
173,12,170,794,95,10/15/22,1798061,Sale
174,98,359,449,45,5/10/20,1897825,Sale
175,28,366,167,69,2/11/20,450185,Sale
176,36,89,774,62,8/28/21,71132,Sale
177,42,666,674,71,1/28/20,1727349,Sale
178,3,260,732,58,5/17/20,2547169,Rent
179,31,719,473,48,1/7/22,2196014,Sale
180,2,323,176,87,7/8/22,596926,Sale
181,10,834,746,28,8/17/22,4585921,Sale
182,40,240,916,61,2/27/21,4436625,Rent
183,31,568,892,22,4/30/21,4537652,Rent
184,19,20,746,56,4/4/22,1946690,Rent
185,38,888,40,88,2/17/21,4042496,Sale
186,20,887,633,44,7/5/20,2232007,Sale
187,22,580,64,64,6/24/20,730708,Sale
188,64,719,911,82,11/9/21,2005307,Sale
189,3,623,187,95,2/21/20,3147653,Sale
190,91,591,678,35,5/10/20,882938,Sale
191,95,728,780,41,7/15/22,786230,Rent
192,31,452,74,81,8/6/22,1333841,Sale
193,7,705,812,59,4/11/22,3877947,Sale
194,95,486,230,91,8/19/20,4060496,Sale
195,31,110,855,75,11/13/22,4315752,Sale
196,51,507,282,79,10/16/21,267162,Sale
197,1,431,241,94,10/28/22,4979161,Rent
198,19,856,104,77,12/16/21,4912207,Sale
199,90,424,396,17,1/7/20,1272514,Rent
200,62,207,654,74,1/26/21,1248345,Sale
201,55,284,702,11,1/11/20,4947440,Sale
202,99,461,104,13,12/11/22,2351155,Sale
203,35,580,313,47,6/3/21,1918962,Sale
204,10,913,665,74,1/10/20,4505088,Sale
205,6,856,187,63,10/9/22,4094676,Sale
206,86,96,419,83,9/13/20,1092364,Sale
207,99,69,200,58,11/23/21,1225088,Rent
208,72,113,883,23,6/7/21,2039720,Sale
209,32,454,570,9,1/2/22,646575,Rent
210,90,32,191,92,4/4/20,2598293,Sale
211,8,959,863,49,9/24/20,2919454,Sale
212,54,20,344,29,8/14/21,459733,Sale
213,35,640,756,91,6/8/21,1013502,Sale
214,77,254,892,43,5/15/21,3055201,Rent
215,69,310,142,87,11/30/22,1359634,Sale
216,49,269,756,36,2/13/20,1901839,Sale
217,23,698,976,85,11/13/22,222191,Sale
218,67,656,584,41,8/21/20,3526379,Rent
219,31,381,722,100,10/25/21,3928382,Rent
220,82,356,463,63,1/13/21,3400958,Sale
221,36,112,354,32,5/30/21,2888216,Sale
222,42,949,477,87,10/25/22,3062856,Rent
223,22,102,931,27,11/23/21,3152800,Rent
224,20,319,234,26,10/13/22,3328735,Sale
225,40,389,654,35,3/4/22,549003,Rent
226,75,718,341,26,4/13/22,4496309,Sale
227,13,260,911,32,8/6/20,691023,Sale
228,76,924,9,63,2/7/21,473980,Sale
229,65,581,441,40,10/22/21,1055474,Sale
230,23,288,975,78,1/10/20,2811277,Sale
231,18,475,965,37,10/29/22,983217,Sale
232,69,182,906,8,4/24/22,3565986,Sale
233,94,316,674,37,4/30/22,3287073,Sale
234,10,203,67,16,12/17/22,4704916,Sale
235,26,568,34,25,6/21/21,558074,Sale
236,16,530,732,61,12/2/22,3466114,Sale
237,32,657,482,20,11/1/21,2539980,Rent
238,26,589,418,70,2/13/22,2712562,Rent
239,87,103,710,88,3/9/20,3268961,Sale
240,30,425,901,46,6/16/20,1364939,Sale
241,46,59,929,67,12/18/21,822755,Sale
242,67,444,259,13,11/2/20,4738698,Rent
243,46,25,909,14,4/2/20,3950930,Rent
244,30,80,144,81,8/12/22,3694301,Rent
245,6,51,800,30,9/11/22,1905691,Sale
246,35,292,631,23,11/14/20,2292494,Sale
247,95,154,969,49,1/1/20,1059324,Sale
248,11,172,200,23,12/28/20,356921,Rent
249,57,815,612,68,3/19/21,1205080,Sale
250,45,902,904,58,6/16/21,1759819,Sale
251,15,114,348,10,8/7/21,2435621,Sale
252,97,459,162,14,11/19/20,458133,Sale
253,62,547,607,24,1/28/21,4996567,Sale
254,86,537,702,11,8/16/20,3717375,Rent
255,3,576,153,100,9/21/22,195262,Sale
256,21,973,150,68,8/5/21,1511410,Rent
257,93,924,619,79,12/31/21,2092733,Sale
258,71,103,286,86,11/6/20,806551,Sale
259,83,209,371,98,4/15/20,4003242,Sale
260,66,714,938,36,2/20/21,4318163,Sale
261,72,899,966,69,10/2/21,4670829,Sale
262,88,887,813,4,8/20/21,4245424,Sale
263,25,540,756,74,2/27/21,4525896,Sale
264,83,739,473,27,5/5/21,2152900,Sale
265,90,848,699,29,6/12/21,1249993,Sale
266,38,3,853,56,3/17/21,2601242,Sale
267,57,248,339,33,8/14/21,4596523,Sale
268,84,245,607,47,6/16/22,211797,Rent
269,63,405,612,49,4/5/22,1699940,Rent
270,86,793,583,99,7/26/21,1335239,Sale
271,100,376,643,80,12/2/20,2408597,Rent
272,13,62,574,3,7/8/22,872323,Sale
273,75,127,543,89,4/9/21,4989186,Sale
274,39,648,709,70,12/16/20,4459648,Rent
275,8,353,262,57,5/3/20,1609691,Rent
276,79,253,34,66,6/1/20,1975878,Sale
277,16,138,468,6,12/23/20,2026129,Rent
278,8,875,966,68,5/25/22,2088490,Sale
279,98,640,678,46,7/20/22,2933972,Rent
280,12,383,618,80,8/12/21,1911052,Sale
281,97,951,569,44,4/29/22,57121,Sale
282,89,795,645,71,3/3/20,1472021,Rent
283,36,121,104,98,9/29/20,3803455,Sale
284,25,238,390,12,6/3/20,1915484,Sale
285,44,80,477,12,1/15/22,1690046,Sale
286,8,592,324,38,5/13/20,1089319,Sale
287,97,305,484,10,3/15/21,3706081,Rent
288,4,601,396,21,1/15/20,4158995,Sale
289,8,240,344,92,2/22/22,2685913,Rent
290,97,672,900,50,1/27/22,3680827,Sale
291,44,270,554,52,3/22/20,3262365,Sale
